consumer_id,provider_id,score
28,16,86.66666666666667
28,17,20.27027027027027
28,19,38.88888888888889
28,20,80
28,21,69.56521739130434
28,22,66.66666666666666
28,24,83.33333333333334
28,28,71.23893805309734
28,29,89.1891891891892
28,32,52.74725274725275
28,33,76.53631284916202
28,34,50
28,35,39.682539682539684
28,37,66.66666666666666
28,38,82.25806451612904
28,42,86.66666666666667
28,43,0
28,44,92.85714285714286
28,45,78.57142857142857
29,6,76.19047619047619
29,8,27.419354838709676
29,11,75
29,12,3.0303030303030303
29,16,50
29,17,66.66666666666666
29,19,43.42105263157895
29,20,66.66666666666666
29,21,0
29,22,20
29,28,52.72727272727272
29,29,80
29,32,54.54545454545454
29,33,75
29,34,75
29,35,84.375
29,38,18.75
29,42,86.66666666666667
29,44,50
29,45,80
32,8,50
32,10,92.85714285714286
32,17,53.37423312883436
32,19,72.86821705426357
32,21,0
32,22,82.75862068965517
32,28,51.80722891566265
32,29,62.96296296296296
32,32,78.57142857142857
32,33,30
32,35,83.33333333333334
32,37,82.35294117647058
32,42,100
32,44,77.77777777777779
32,45,75
33,8,42.10526315789473
33,12,81.81818181818183
33,17,72.72727272727273
33,19,95.83333333333334
33,21,94.73684210526315
33,22,91.66666666666666
33,28,88.69565217391305
33,29,100
33,32,50
33,33,89.14285714285714
33,34,100
33,35,100
33,38,98.66666666666667
33,42,100
33,43,100
33,44,0
33,45,100
34,17,100
34,33,50
34,34,100
34,35,100
34,38,100
34,43,100
35,6,50
35,8,39.11439114391143
35,10,89.79591836734694
35,12,80
35,14,100
35,17,56.48854961832062
35,19,69.54436450839329
35,20,94.73684210526315
35,21,0
35,22,75.14792899408283
35,25,87.75510204081633
35,28,76.59574468085107
35,29,61.95652173913043
35,32,58.82352941176471
35,33,98.65591397849462
35,35,81.81818181818183
35,37,100
35,38,96.17834394904459
35,42,94.44444444444444
35,43,100
35,44,55.55555555555556
35,45,100
37,19,42.608695652173914
37,22,71.42857142857143
37,24,66.66666666666666
37,25,100
37,28,72.72727272727273
37,32,82.35294117647058
37,35,100
37,37,50
37,44,81.63265306122449
38,8,54.54545454545454
38,10,49.2063492063492
38,12,81.25
38,14,0
38,17,100
38,19,25.892857142857146
38,20,100
38,21,100
38,22,46.05263157894737
38,24,100
38,25,71.64179104477611
38,28,64.1025641025641
38,29,72.72727272727273
38,33,95
38,34,100
38,35,92.94117647058823
38,38,71.73913043478261
38,42,95.65217391304348
38,43,62.06896551724138
38,44,61.111111111111114
38,45,100
39,8,100
39,32,100
42,10,85
42,11,90
42,17,74.28571428571429
42,19,90.5511811023622
42,22,74.28571428571429
42,25,33.33333333333333
42,28,58.139534883720934
42,29,86.66666666666667
42,33,87.5
42,35,87.75510204081633
42,37,100
42,38,87.90322580645162
42,42,100
42,44,85.8974358974359
43,8,80.43478260869566
43,12,94.73684210526315
43,14,100
43,17,100
43,19,84.21052631578947
43,29,0
43,33,100
43,34,100
43,35,100
43,38,95.65217391304348
44,6,60
44,10,100
44,11,86.95652173913044
44,17,100
44,19,58.16326530612245
44,20,80.64516129032258
44,21,0
44,22,33.33333333333333
44,25,0
44,28,73.68421052631578
44,29,90.9090909090909
44,32,40
44,33,83.33333333333334
44,35,54.54545454545454
44,37,73.46938775510205
44,38,45.45454545454545
44,42,75
44,44,85.71428571428571
44,45,0
45,10,81.13207547169812
45,17,66.66666666666666
45,19,28.717948717948715
45,21,0
45,22,14.285714285714285
45,25,59.42028985507246
45,28,78.57142857142857
45,29,57.89473684210527
45,32,73.68421052631578
45,33,100
45,35,28.125
45,37,70.58823529411765
45,38,72.38095238095238
45,42,85.71428571428571
45,44,24.074074074074073
45,45,100
